/Users/shmuel/VENVs/AI-Final-Project/bin/python /Users/shmuel/PycharmProjects/AI-Final-Project/Checkers.py -a=rl -b=random -d=no -n=1000 -m=train
Game Mode: ['train']
Player name: pa
RL weights file loads from path: objects/pa_Q_LearningAgent.pkl
RL weights file loads from path: objects/pa_Q_LearningAgent.pkl
Episode 94/1000, BLACK: 49, WHITE: 36, Ties: 9
Episode 95/1000, BLACK: 50, WHITE: 36, Ties: 9
Episode 96/1000, BLACK: 51, WHITE: 36, Ties: 9
Episode 97/1000, BLACK: 51, WHITE: 37, Ties: 9
Episode 98/1000, BLACK: 52, WHITE: 37, Ties: 9
Episode 99/1000, BLACK: 53, WHITE: 37, Ties: 9
Episode 100/1000, BLACK: 54, WHITE: 37, Ties: 9
Episode 101/1000, BLACK: 54, WHITE: 38, Ties: 9
Episode 102/1000, BLACK: 54, WHITE: 39, Ties: 9
Episode 103/1000, BLACK: 54, WHITE: 40, Ties: 9
Episode 104/1000, BLACK: 55, WHITE: 40, Ties: 9
Episode 105/1000, BLACK: 55, WHITE: 40, Ties: 10
Episode 106/1000, BLACK: 55, WHITE: 41, Ties: 10
Episode 107/1000, BLACK: 55, WHITE: 42, Ties: 10
Episode 108/1000, BLACK: 55, WHITE: 43, Ties: 10
Episode 109/1000, BLACK: 56, WHITE: 43, Ties: 10
Episode 110/1000, BLACK: 56, WHITE: 44, Ties: 10
Episode 111/1000, BLACK: 56, WHITE: 45, Ties: 10
Episode 112/1000, BLACK: 57, WHITE: 45, Ties: 10
has 3 identical moves
has 3 identical moves
Episode 113/1000, BLACK: 57, WHITE: 45, Ties: 11
Episode 114/1000, BLACK: 57, WHITE: 46, Ties: 11
Episode 115/1000, BLACK: 58, WHITE: 46, Ties: 11
Episode 116/1000, BLACK: 59, WHITE: 46, Ties: 11
Episode 117/1000, BLACK: 60, WHITE: 46, Ties: 11
Episode 118/1000, BLACK: 60, WHITE: 47, Ties: 11
Episode 119/1000, BLACK: 61, WHITE: 47, Ties: 11
Episode 120/1000, BLACK: 62, WHITE: 47, Ties: 11
Episode 121/1000, BLACK: 62, WHITE: 48, Ties: 11
Episode 122/1000, BLACK: 63, WHITE: 48, Ties: 11
Episode 123/1000, BLACK: 63, WHITE: 48, Ties: 12
Episode 124/1000, BLACK: 63, WHITE: 49, Ties: 12
has 3 identical moves
has 3 identical moves
Episode 125/1000, BLACK: 63, WHITE: 49, Ties: 13
Episode 126/1000, BLACK: 64, WHITE: 49, Ties: 13
Episode 127/1000, BLACK: 65, WHITE: 49, Ties: 13
Episode 128/1000, BLACK: 66, WHITE: 49, Ties: 13
Episode 129/1000, BLACK: 66, WHITE: 50, Ties: 13
Episode 130/1000, BLACK: 67, WHITE: 50, Ties: 13
Episode 131/1000, BLACK: 67, WHITE: 51, Ties: 13
Episode 132/1000, BLACK: 67, WHITE: 51, Ties: 14
Episode 133/1000, BLACK: 68, WHITE: 51, Ties: 14
Episode 134/1000, BLACK: 69, WHITE: 51, Ties: 14
Episode 135/1000, BLACK: 69, WHITE: 51, Ties: 15
Episode 136/1000, BLACK: 70, WHITE: 51, Ties: 15
Episode 137/1000, BLACK: 71, WHITE: 51, Ties: 15
Episode 138/1000, BLACK: 72, WHITE: 51, Ties: 15
Episode 139/1000, BLACK: 72, WHITE: 52, Ties: 15
Episode 140/1000, BLACK: 73, WHITE: 52, Ties: 15
Episode 141/1000, BLACK: 74, WHITE: 52, Ties: 15
Episode 142/1000, BLACK: 74, WHITE: 53, Ties: 15
Episode 143/1000, BLACK: 75, WHITE: 53, Ties: 15
Episode 144/1000, BLACK: 75, WHITE: 54, Ties: 15
Episode 145/1000, BLACK: 76, WHITE: 54, Ties: 15
Episode 146/1000, BLACK: 77, WHITE: 54, Ties: 15
Episode 147/1000, BLACK: 77, WHITE: 54, Ties: 16
Episode 148/1000, BLACK: 77, WHITE: 55, Ties: 16
Episode 149/1000, BLACK: 77, WHITE: 56, Ties: 16
Episode 150/1000, BLACK: 77, WHITE: 57, Ties: 16
Episode 151/1000, BLACK: 77, WHITE: 58, Ties: 16
Episode 152/1000, BLACK: 77, WHITE: 59, Ties: 16
Episode 153/1000, BLACK: 78, WHITE: 59, Ties: 16
Episode 154/1000, BLACK: 79, WHITE: 59, Ties: 16
Episode 155/1000, BLACK: 79, WHITE: 60, Ties: 16
Episode 156/1000, BLACK: 80, WHITE: 60, Ties: 16
Episode 157/1000, BLACK: 81, WHITE: 60, Ties: 16
Episode 158/1000, BLACK: 82, WHITE: 60, Ties: 16
Episode 159/1000, BLACK: 83, WHITE: 60, Ties: 16
Episode 160/1000, BLACK: 84, WHITE: 60, Ties: 16
Episode 161/1000, BLACK: 85, WHITE: 60, Ties: 16
Episode 162/1000, BLACK: 86, WHITE: 60, Ties: 16
Episode 163/1000, BLACK: 87, WHITE: 60, Ties: 16
Episode 164/1000, BLACK: 88, WHITE: 60, Ties: 16
Episode 165/1000, BLACK: 88, WHITE: 61, Ties: 16
Episode 166/1000, BLACK: 89, WHITE: 61, Ties: 16
Episode 167/1000, BLACK: 89, WHITE: 62, Ties: 16
Episode 168/1000, BLACK: 90, WHITE: 62, Ties: 16
Episode 169/1000, BLACK: 90, WHITE: 63, Ties: 16
Episode 170/1000, BLACK: 91, WHITE: 63, Ties: 16
Episode 171/1000, BLACK: 92, WHITE: 63, Ties: 16
Episode 172/1000, BLACK: 93, WHITE: 63, Ties: 16
Episode 173/1000, BLACK: 94, WHITE: 63, Ties: 16
Episode 174/1000, BLACK: 94, WHITE: 64, Ties: 16
Episode 175/1000, BLACK: 95, WHITE: 64, Ties: 16
Episode 176/1000, BLACK: 95, WHITE: 65, Ties: 16
Episode 177/1000, BLACK: 95, WHITE: 66, Ties: 16
Episode 178/1000, BLACK: 95, WHITE: 67, Ties: 16
Episode 179/1000, BLACK: 95, WHITE: 68, Ties: 16
Episode 180/1000, BLACK: 95, WHITE: 68, Ties: 17
Episode 181/1000, BLACK: 95, WHITE: 69, Ties: 17
Episode 182/1000, BLACK: 95, WHITE: 69, Ties: 18
Episode 183/1000, BLACK: 96, WHITE: 69, Ties: 18
Episode 184/1000, BLACK: 97, WHITE: 69, Ties: 18
Episode 185/1000, BLACK: 97, WHITE: 69, Ties: 19
Episode 186/1000, BLACK: 97, WHITE: 70, Ties: 19
Episode 187/1000, BLACK: 97, WHITE: 71, Ties: 19
Episode 188/1000, BLACK: 98, WHITE: 71, Ties: 19
Episode 189/1000, BLACK: 99, WHITE: 71, Ties: 19
Episode 190/1000, BLACK: 100, WHITE: 71, Ties: 19
Episode 191/1000, BLACK: 100, WHITE: 72, Ties: 19
Episode 192/1000, BLACK: 100, WHITE: 73, Ties: 19
Episode 193/1000, BLACK: 100, WHITE: 74, Ties: 19
has 3 identical moves
has 3 identical moves
Episode 194/1000, BLACK: 100, WHITE: 74, Ties: 20
Episode 195/1000, BLACK: 100, WHITE: 75, Ties: 20
Episode 196/1000, BLACK: 100, WHITE: 76, Ties: 20
Episode 197/1000, BLACK: 101, WHITE: 76, Ties: 20
Episode 198/1000, BLACK: 102, WHITE: 76, Ties: 20
Episode 199/1000, BLACK: 103, WHITE: 76, Ties: 20
Episode 200/1000, BLACK: 103, WHITE: 77, Ties: 20
Episode 201/1000, BLACK: 103, WHITE: 78, Ties: 20
Episode 202/1000, BLACK: 103, WHITE: 79, Ties: 20
Episode 203/1000, BLACK: 103, WHITE: 80, Ties: 20
has 3 identical moves
has 3 identical moves
Episode 204/1000, BLACK: 103, WHITE: 80, Ties: 21
Episode 205/1000, BLACK: 104, WHITE: 80, Ties: 21
Episode 206/1000, BLACK: 104, WHITE: 80, Ties: 22
Episode 207/1000, BLACK: 105, WHITE: 80, Ties: 22
Episode 208/1000, BLACK: 106, WHITE: 80, Ties: 22
Episode 209/1000, BLACK: 106, WHITE: 81, Ties: 22
Episode 210/1000, BLACK: 106, WHITE: 81, Ties: 23
Episode 211/1000, BLACK: 106, WHITE: 82, Ties: 23
Episode 212/1000, BLACK: 107, WHITE: 82, Ties: 23
Episode 213/1000, BLACK: 108, WHITE: 82, Ties: 23
Episode 214/1000, BLACK: 109, WHITE: 82, Ties: 23
Episode 215/1000, BLACK: 109, WHITE: 83, Ties: 23
Episode 216/1000, BLACK: 110, WHITE: 83, Ties: 23
Episode 217/1000, BLACK: 110, WHITE: 84, Ties: 23
Episode 218/1000, BLACK: 111, WHITE: 84, Ties: 23
Episode 219/1000, BLACK: 111, WHITE: 84, Ties: 24
Episode 220/1000, BLACK: 112, WHITE: 84, Ties: 24
Episode 221/1000, BLACK: 112, WHITE: 85, Ties: 24
Episode 222/1000, BLACK: 113, WHITE: 85, Ties: 24
Episode 223/1000, BLACK: 114, WHITE: 85, Ties: 24
Episode 224/1000, BLACK: 115, WHITE: 85, Ties: 24
Episode 225/1000, BLACK: 116, WHITE: 85, Ties: 24
